power,speed,time,lap
16,18.6768,00:00.0,1
102,19.0116,00:01.0,1
111,19.2456,00:02.0,1
92,19.8504,00:03.0,1
110,20.3544,00:04.0,1
232,21.4308,00:05.0,1
268,22.572,00:06.0,1
268,23.5476,00:07.0,1
186,24.2172,00:08.0,1
232,24.9228,00:09.0,1
273,25.5636,00:10.0,1
320,26.6364,00:11.0,1
324,28.2816,00:12.0,1
315,29.124,00:13.0,1
280,29.9304,00:14.0,1
286,30.9024,00:15.0,1
259,30.7692,00:16.0,1
272,31.2732,00:17.0,1
272,31.7772,00:18.0,1
270,32.3136,00:19.0,1
276,32.9868,00:20.0,1
236,33.2892,00:21.0,1
215,33.2892,00:22.0,1
166,33.2892,00:23.0,1
166,33.4908,00:24.0,1
148,34.0272,00:25.0,1
189,33.2892,00:26.0,2
234,33.6564,00:27.0,2
234,33.858,00:28.0,2
239,34.0272,00:29.0,2
238,34.2288,00:30.0,2
185,34.4628,00:31.0,2
191,34.3296,00:32.0,2
209,34.7004,00:33.0,2
250,34.9344,00:34.0,2
246,35.2692,00:35.0,2
225,35.4384,00:36.0,2
203,35.4384,00:37.0,2
187,35.6076,00:38.0,2
214,35.7408,00:39.0,2
257,35.7408,00:40.0,2
253,36.0756,00:41.0,2
253,36.2448,00:42.0,2
225,36.612,00:43.0,2
225,36.648,00:44.0,2
224,36.9504,00:45.0,2
259,37.3176,00:46.0,2
249,37.4868,00:47.0,2
223,37.6884,00:48.0,2
227,37.4868,00:49.0,2
210,37.8576,00:50.0,2
231,37.8576,00:51.0,2
215,37.8576,00:52.0,2
218,38.0592,00:53.0,2
100,38.0592,00:54.0,2
100,37.116,00:55.0,3
69,37.116,00:56.0,3
82,36.612,00:57.0,3
120,36.0756,00:58.0,3
191,36.2448,00:59.0,3
189,36.2448,01:00.0,3
239,35.91,01:01.0,3
295,35.91,01:02.0,3
351,36.2448,01:03.0,3
293,36.9504,01:04.0,3
293,36.8496,01:05.0,3
248,37.116,01:06.0,3
248,36.9504,01:07.0,3
227,37.116,01:08.0,3
240,36.9504,01:09.0,3
260,37.3176,01:10.0,3
260,37.3176,01:11.0,3
232,37.4868,01:12.0,3
195,37.3176,01:13.0,3
172,36.9504,01:14.0,3
145,36.7812,01:15.0,3
133,36.7812,01:16.0,3
134,36.612,01:17.0,3
215,36.2448,01:18.0,3
303,36.5472,01:19.0,3
259,36.5112,01:20.0,3
224,36.612,01:21.0,3
224,36.7812,01:22.0,3
231,36.7812,01:23.0,3
231,36.9504,01:24.0,3
257,37.0512,01:25.0,3
243,37.0512,01:26.0,3
211,37.116,01:27.0,3
184,37.3176,01:28.0,3
206,37.3176,01:29.0,3
198,37.3536,01:30.0,3
184,37.116,01:31.0,3
214,37.3176,01:32.0,3
194,37.116,01:33.0,3
198,37.2168,01:34.0,3
200,37.0512,01:35.0,3
211,37.3176,01:36.0,3
175,37.3176,01:37.0,3
184,37.3176,01:38.0,3
248,37.4868,01:39.0,3
274,37.8576,01:40.0,3
247,38.2248,01:41.0,3
247,38.0592,01:42.0,3
228,38.2248,01:43.0,3
176,38.0592,01:44.0,3
112,37.4868,01:45.0,3
77,37.116,01:46.0,3
82,36.9504,01:47.0,3
142,37.116,01:48.0,3
245,36.9504,01:49.0,3
219,37.0512,01:50.0,3
212,36.7812,01:51.0,3
317,36.7812,01:52.0,3
284,36.7812,01:53.0,3
284,37.116,01:54.0,3
247,37.0512,01:55.0,3
248,37.116,01:56.0,3
279,37.3176,01:57.0,3
253,37.6884,01:58.0,3
243,37.4868,01:59.0,3
262,37.6884,02:00.0,3
238,37.5876,02:01.0,3
245,37.62,02:02.0,3
188,37.116,02:03.0,3
143,36.9504,02:04.0,3
145,36.9504,02:05.0,3
139,36.9504,02:06.0,3
143,37.0512,02:07.0,3
181,36.4464,02:08.0,3
257,36.4464,02:09.0,3
269,36.612,02:10.0,3
256,36.7812,02:11.0,3
230,36.9504,02:12.0,3
214,36.9504,02:13.0,3
233,36.9504,02:14.0,3
242,37.3176,02:15.0,3
268,37.4868,02:16.0,3
238,37.8576,02:17.0,3
222,37.4868,02:18.0,3
222,37.8576,02:19.0,3
229,37.8576,02:20.0,3
253,38.0592,02:21.0,3
233,37.8576,02:22.0,3
218,38.0592,02:23.0,3
218,38.0592,02:24.0,3
211,37.8576,02:25.0,3
233,38.3256,02:26.0,3
246,38.2248,02:27.0,3
241,38.4264,02:28.0,3
247,38.628,02:29.0,3
210,38.4264,02:30.0,3
203,38.628,02:31.0,3
215,38.4264,02:32.0,3
182,38.4264,02:33.0,3
170,38.2248,02:34.0,3
161,38.4264,02:35.0,3
59,38.124,02:36.0,3
51,37.3176,02:37.0,3
137,37.116,02:38.0,3
237,37.2168,02:39.0,3
241,37.3176,02:40.0,3
255,36.9504,02:41.0,3
302,37.116,02:42.0,3
293,37.3176,02:43.0,3
293,37.8576,02:44.0,3
225,37.4868,02:45.0,3
224,37.4868,02:46.0,3
226,37.3176,02:47.0,3
228,37.6884,02:48.0,3
253,37.4868,02:49.0,3
228,37.3176,02:50.0,3
228,37.3176,02:51.0,3
254,37.4868,02:52.0,3
216,37.2168,02:53.0,3
125,37.116,02:54.0,3
127,36.7812,02:55.0,3
152,36.7812,02:56.0,3
169,36.7812,02:57.0,3
212,36.2448,02:58.0,3
212,36.4464,02:59.0,3
264,36.4464,03:00.0,3
277,36.612,03:01.0,3
219,36.612,03:02.0,3
184,36.7812,03:03.0,3
259,36.9504,03:04.0,3
245,37.116,03:05.0,3
242,37.3176,03:06.0,3
223,37.4868,03:07.0,3
216,37.4868,03:08.0,3
228,38.0592,03:09.0,3
241,37.8576,03:10.0,3
229,37.6884,03:11.0,3
235,37.6884,03:12.0,3
225,37.9584,03:13.0,3
205,37.8576,03:14.0,3
205,37.8576,03:15.0,3
227,37.8576,03:16.0,3
228,38.0592,03:17.0,3
227,38.0592,03:18.0,3
214,37.8576,03:19.0,3
157,37.8576,03:20.0,3
161,37.6884,03:21.0,3
128,37.4868,03:22.0,3
128,37.2168,03:23.0,3
126,37.116,03:24.0,3
111,36.7812,03:25.0,3
102,36.9504,03:26.0,3
107,36.612,03:27.0,3
122,35.7408,03:28.0,3
142,35.6076,03:29.0,3
142,35.6076,03:30.0,3
162,35.4384,03:31.0,3
259,35.2692,03:32.0,3
284,35.6076,03:33.0,3
292,35.91,03:34.0,3
262,36.0756,03:35.0,3
235,36.0756,03:36.0,3
232,36.2448,03:37.0,3
240,36.4464,03:38.0,3
243,36.4464,03:39.0,3
239,36.4464,03:40.0,3
239,36.4464,03:41.0,3
226,36.4464,03:42.0,3
208,36.2448,03:43.0,3
178,36.4464,03:44.0,3
178,35.91,03:45.0,3
127,35.6076,03:46.0,3
139,35.91,03:47.0,3
155,35.7408,03:48.0,3
202,35.6076,03:49.0,3
261,35.6724,03:50.0,3
259,35.7408,03:51.0,3
227,35.91,03:52.0,3
177,35.7408,03:53.0,3
212,36.2448,03:54.0,3
212,36.0756,03:55.0,3
248,36.4464,03:56.0,3
218,36.7812,03:57.0,3
228,36.6804,03:58.0,3
213,36.9504,03:59.0,3
217,36.7812,04:00.0,3
227,37.116,04:01.0,3
210,37.116,04:02.0,3
194,37.3176,04:03.0,3
168,36.8496,04:04.0,3
139,36.7812,04:05.0,3
166,36.648,04:06.0,3
179,36.9504,04:07.0,3
176,36.612,04:08.0,3
129,36.2448,04:09.0,3
128,36.2448,04:10.0,3
107,35.91,04:11.0,3
162,36.2448,04:12.0,3
